Data structure size: 13421773248 bits, construction time: 2970632074 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,8.86425e+07,8.85954e+07,ns,,,,,,0,0,1,5.24289e+11
"BM_run/2/iterations:10000",10000,2.37664e+07,2.37536e+07,ns,,,,,,0,0,2,1.31072e+11
"BM_run/3/iterations:10000",10000,6.04135e+06,6.03807e+06,ns,,,,,,0,0,3,3.27679e+10
"BM_run/4/iterations:10000",10000,1.50139e+06,1.50058e+06,ns,,,,,,0,0,4,8.19198e+09
"BM_run/5/iterations:10000",10000,375155,374951,ns,,,,,,0,0,5,2.04799e+09
"BM_run/6/iterations:10000",10000,95868.6,95817.3,ns,,,,,,0,0,6,5.11972e+08
"BM_run/7/iterations:10000",10000,26605.2,26589.2,ns,,,,,,0,0,7,1.28004e+08
"BM_run/8/iterations:10000",10000,9002.25,8998.75,ns,,,,,,0,0,8,3.20174e+07
"BM_run/9/iterations:10000",10000,4336.7,4336.45,ns,,,,,,0,0,9,8.01158e+06
"BM_run/10/iterations:10000",10000,2907.79,2908.28,ns,,,,,,0,0,10,2.008e+06
"BM_run/20/iterations:10000",10000,1886.57,1885.4,ns,,,,,,0,0,20,10001
"BM_run/30/iterations:10000",10000,2023.77,2022.65,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,2189.72,2188.32,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,2242.14,2240.07,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2210.29,2209.55,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,2198.33,2197.63,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,2219.82,2218.18,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,2224.16,2223.04,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2209.18,2207.3,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,2269.12,2267.34,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,2315.38,2313.53,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,2367.32,2364.45,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,2390.98,2389.43,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2426.74,2424.36,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2484.13,2481.49,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2520.98,2518.92,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,2541.88,2538.84,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,2582.3,2580.66,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3009.9,3006.91,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3442.24,3438.13,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3876.4,3872.64,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,4293.14,4288.43,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,4699.41,4694.55,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,5102.76,5098.6,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,5527.04,5521.42,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,5943.86,5938.34,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,6369.96,6363.35,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,10495.2,10484.1,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,14661.1,14646.4,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,18824.2,18805.1,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,22918.6,22894.6,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,27080.9,27052.9,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,31247.6,31215.1,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,35400.1,35367.2,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,39525.3,39488.5,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,43667.9,43624.8,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,84858.2,84775.4,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,126393,126271,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,167824,167665,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,209217,209011,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,250578,250334,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,292464,292171,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,334310,333968,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,374673,374283,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,415941,415500,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,828003,826964,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1.23752e+06,1.23594e+06,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1.64773e+06,1.64562e+06,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,2.05788e+06,2.05524e+06,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,2.46869e+06,2.46536e+06,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,2.87884e+06,2.87493e+06,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,3.28903e+06,3.28453e+06,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,3.70072e+06,3.69552e+06,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,4.10971e+06,4.10381e+06,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,8.21539e+06,8.20287e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.23206e+07,1.23014e+07,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.64231e+07,1.63991e+07,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,2.05264e+07,2.04966e+07,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.46322e+07,2.45945e+07,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.87558e+07,2.87139e+07,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.28897e+07,3.28421e+07,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.69965e+07,3.69454e+07,ns,,,,,,0,0,9e+07,10000
